약용식물번호,식물분류명,약용식물종명,식물과명,식물종학명,삭물생태설명,약용식물분포설명,약용식물약재명,이용방법설명,약용식물효과설명,약용식물복용방법설명
21,피자식물/쌍자엽식물,약모밀,삼백초과(Saururaceae),Houttuynia cordata Thunb.,"숲에 자라는 다년초로 높이 20∼50㎝이며 곧추 자라고 세로줄이 있으며 뿌리는 백색이다. 잎은 어긋나기 하며 넓은 난상 심장형이며 끝이 뾰족하고 가장자리에 톱니가 없다. 꽃은 5∼6월에 원줄기 끝에서 길이 1∼3㎝의 수상화서로 달리며, 열매는 튀는열매며 종자는 갈색이다. ☞ 삼백초보다 꽃차례에 4매의 총포가 있고 상부잎 표면이 백색이 아니다.","한국(제주도, 울릉도), 중국, 일본, 러시아, 대만, 태국, 자바",어성초(魚腥草),전초를 꽃차례가 많을 때 채취하여 햇볕에 말린다.,"간염, 강심제, 개선, 거담, 고혈압, 관절염, 기관지염, 동맥경화, 매독, 방광염, 수종, 식도암, 완화, 요도염, 윤피부, 이뇨통림, 임질, 자궁내막염, 중이염, 중풍, 청열해독, 축농증, 치루, 치질, 치창, 탈항, 통리수도, 폐농양, 폐렴, 피부염, 하리, 해독, 해열, 화농, 흉부냉증 등",(내복): 탕전(湯煎)하거나 즙을 내어 복용한다. (외용): 짓이겨 상처 부위에 붙이거나 물로 달여서 상처 부위에 쐬고 닦아낸다.
22,피자식물/쌍자엽식물,삼백초,삼백초과(Saururaceae),Saururus chinensis (Lour.) Baill.,"습지에 자라는 다년초로 높이 50∼100㎝이며 근경은 백색이다. 잎은 어긋나기 하며 끝이 뾰족하고 밑부분은 심장상 이저이고 가장자리가 밋밋하다. 꽃은 양성으로서 6∼8월에 백색으로 피고 수상화서는 잎과 마주나기 한다. 열매는 둥글고 3∼5실로 되어있으며, 종자는 각 실에 1개씩 들어 있다. ☞ 약모밀보다 꽃차례에 총포가 없고 상부 잎 표면이 백색이다.","한국(제주), 중국, 일본, 필리핀",삼백초(三白草),전초를 여름부터 가을에 채취하여 햇볕에 말린다.,"각기, 간염, 개선, 갱년기장애, 건위, 견비통, 고혈압, 골수염, 대하, 보습제, 선창, 소종해독, 수종, 아감, 암, 옹종, 요통, 유선염, 이뇨, 임질, 종독, 중이염, 중풍, 지방간, 청열이습, 충치, 치루, 치조농루, 치통, 치핵, 편도선비대. 폐농양, 피부윤택, 해열, 협심증, 황달 등",(내복): 탕전(湯煎)하거나 즙을 내어 복용한다. (외용): 짓이겨 상처 부위에 붙이거나 달여서 상처 부위를 닦아낸다.
23,피자식물/쌍자엽식물,홀아비꽃대,홀아비꽃대과(Chloranthaceae),Chloranthus japonicus Siebold,"그늘에 자라는 다년초로 높이 20∼30㎝이고 밑부분의 마디에 비늘 같은 잎이 달려 있다. 잎은 4개가 연속하여 마주나기 하나 돌려나기한 것과 같이 보이고 끝이 뾰족하며 가장자리에 예리한 톱니가 있다. 꽃은 백색으로 4∼5월 수상화서는 대가 있으며 꽃잎이 없다. 열매는 튀는열매며, 도란형으로 좁다. ☞ 옥녀꽃대보다 수술대가 짧고 양측의 2개는 하부에 꽃밥이 달린다.","한국(전국), 중국, 일본, 러시아",은전초(銀錢草),전초를 봄부터 여름에 채취하여 햇볕에 말린다.,"거풍, 경혈, 기관지염, 소종지통, 옹종, 월경이상, 이뇨, 인후통증, 제습, 타박상, 통경, 풍한해수, 해독, 해수, 활혈, 흉협통",(내복): 탕전(湯煎)하거나 가루약으로 복용한다. (외용): 짓찧어 상처 부위에 붙인다.
24,피자식물/쌍자엽식물,가래나무,가래나무과(Juglandaceae),Juglans mandshurica Maxim.,산기슭이나 골짜기에 자라는 낙엽교목으로 높이가 20m에 달하며 나무껍질은 세로로 갈라진다. 잎은 기수우상복엽이고 차조기는 7∼17개이며 예두 심장저이고 가장자리에 잔 톱니가 있으며 표면에 털이 있다. 꽃은 일가화로서 4월에 핀다. 열매는 핵과로 난상 원형이며 9월에 익는다. ☞ 호두나무보다 차조기는 7개 이상이고 톱니가 있으며 열매는 2실이다.,"한국(속리산, 소백산 이북), 중국, 러시아",핵도추피(核桃楸皮),나무껍질을 봄부터 가을에 채취하여 햇볕에 말린다.,"강장, 강장보호, 거습, 구충, 동상, 수감, 염발, 요독증, 요통, 위궤양, 일체안병, 자색반병, 자양, 자양강장, 장염, 조습, 진해, 척추질환, 폐기, 포태, 피부염, 하리",(내복): 탕전(湯煎)하여 복용한다.
25,피자식물/쌍자엽식물,호두나무,가래나무과(Juglans regia Dode),Juglans regia Dode,식재하는 낙엽교목으로 높이가 20m에 달하고 나무껍질은 회백색이며 점차 깊게 갈라진다. 잎은 홀수 깃모양겹잎이고 선모가 있으며 차조기는 5∼7개이고 타원형이며 첨두이고 예저 또는 아심장저이다. 꽃은 일가화로 4∼5월에 핀다. 열매는 핵과로 둥글며 봉선에 따라 주름살이 있으며 9월에 익는다. ☞ 가래나무보다 차조기가 7개 이하이고 톱니가 없으며 과실은 4실이다.,"한국(중남부), 중국",호도인(胡挑仁),과실(종인)을 10월에 채취하여 껍질을 제거하고 말린다.,"각기. 간 기능회복, 강장보호, 강장제, 개선, 구충, 구토, 기관지염, 동상, 소변림력, 소아조성장, 수감, 암내, 염발, 옴, 요결석, 요통, 유정증, 윤폐, 임신구토, 자색반병, 자양강장, 중독증, 진해, 타박상, 통기, 폐기천식, 임신, 피부염, 해수.",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다. (외용): 짓찧어 상처 부위에 붙이거나 기름을 짜내어 상처 부위에 바른다.
26,피자식물/쌍자엽식물,굴피나무,가래나무과(Juglandaceae),Platycarya strobilacea Siebold & Zucc.,산의 양지바른 곳에 자라는 낙엽교목으로 높이가 12m에 달하고 뚜렷한 껍질눈이 있다. 잎은 기수우상복엽으로 7∼19개의 차조기로 구성되며 차조기는 난상 피침형 또는 난상이며 긴 점첨두 예저이고 가장자리에 톱니가 있다. 꽃은 이가화로서 5∼6월에 피고 열매는 견과로 날개가 있으며 9월에 익는다. ☞ 중국굴피나무속에 비해 과실은 상향하고 있는 모양의 미상 꽃차례에 달린다.,"한국(경기이남), 중국, 일본, 대만",화향수과(化香樹果),과실을 8∼9월에 채취하여 햇볕에 말린다.,"강장제, 개선, 거풍, 건습, 근골동통, 살충, 소종, 습창, 종독, 지통, 진통, 창독, 치통, 풍",(내복): 탕전(湯煎)하여 복용한다. (외용): 물로 달여 상처부위를 닦거나 개어 붙인다.
27,피자식물/쌍자엽식물,중국굴피나무,가래나무과(Juglandaceae),Pterocarya stenoptera DC.,식재하는 낙엽교목으로 높이가 30m에 달한다. 잎은 기수우상복엽이고 차조기는 9∼25개이다. 차조기는 타원형이고 예두 또는 첨두이며 예저이고 잔 톱니가 있다. 꽃은 일가화로서 밑으로 처지는 미상 꽃차례이다. 열매는 과수에 달리고 9월에 익는다. ☞ 호두나무속에 비해 과실에 날개가 있는 견과이다.,"한국(중남부), 중국",풍류피(楓柳皮),나무껍질을 연중 채취하여 햇볕에 말린다.,"개선, 진통, 치통, 해독, 화상","(외용): 달여서 상처 부위를 닦아내거나, 가루 내어 뿌리거나 개어 붙인다."
28,피자식물/쌍자엽식물,물오리나무,자작나무과(Betulaceae),Alnus sibirica Fisch. ex Turcz.,산골짜기 습기가 많은 곳에 자라는 낙엽교목으로 높이가 20m에 달하고 겨울눈에 털이 있다. 잎은 넓은 난형이고 예두 원저이고 뾰족한 겹 톱니가 있다. 꽃은 일가화로서 4∼5월에 피고 암꽃 이삭은 수꽃 이삭보다 밑에 달린다. 과수는 원기둥꼴이고 짙은 갈색이고 10월에 익는다. ☞ 물갬나무보다 난원형 또는 타원형이고 밑이 둥글고 쐐기 모양이다.,"한국(중북부), 중국, 일본, 러시아",색적양(色赤楊),줄기 껍질을 채취하여 말린다.,"발모, 임질, 치통",(내복): 탕전(湯煎)하거나 가루 내어 복용한다.
29,피자식물/쌍자엽식물,자작나무,자작나무과(Betulaceae),Betula platyphylla var. japonica (Miq.) Hara,심산에 자라는 낙엽교목으로 높이가 20m에 달하고 나무껍질은 백색이며 수평으로 볏겨진다. 잎은 삼각상 난형이고 점첨두이며 예저 또는 아심장저이고 톱니가 있으며 뒷면 맥액에 갈색 털이 있다. 꽃은 일가화이며 4∼5월에 핀다. 열매는 소견과로 날개가 있으며 10월에 익는다. ☞ 만주자작에 비해 잎겨드랑이에 갈색 털이 있고 소견과에 날개가 있다.,"한국(북부), 중국, 일본, 러시아",백화피(白樺皮),나무껍질을 연중 채취하여 조피(粗皮)를 제거하고 햇볕에 말린다.,"간염, 강장, 구충, 기관지염, 아감, 자양강장, 종독, 통풍, 편도선염, 폐농양, 폐렴, 폐부종, 피부염, 하리, 해독, 해수, 해열, 황달",(내복): 탕전(湯煎)하거나 단술을 만들어 복용한다.
30,피자식물/쌍자엽식물,까치박달,자작나무과(Betulaceae),Carpinus cordata Blume,산골짜기에 자라는 낙엽교목으로 높이가 15m에 달하고 잔가지는 털이 있으나 점차 없어진다. 잎은 난형 또는 타원형이며 점첨두 심장저이고 가장자리에 뾰족한 톱니가 있다. 꽃은 일가화로 5월에 피고 웅화수는 잎과 더불어 잔가지 끝에 달리며 자화수는 가지 끝에서 밑으로 처진다. 열매는 소견과로 타원형이고 10월에 익는다. ☞ 잎의 기부가 심형이고 측맥이 조밀하게 많으며 막질이다.,"한국(전국), 중국, 일본, 러시아",소과천금유(小果千金楡),뿌리껍질을 채취하여 햇볕에 말린다.,"타박상, 창종, 임병.",(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 상처 부위에 바른다.
31,피자식물/쌍자엽식물,개암나무,자작나무과(Betulaceae),Corylus heterophylla Fisch. ex Trautv.,"산야에 자라는 낙엽관목으로 높이가 3m에 달하고 새 가지에 선모가 있다. 잎은 어긋나기하고 난형 또는 도란형이며 짧은 예첨두이고 원저 또는 아심장저이며 가장자리에 잔 톱니가 있다. 꽃은 일가화로 3월 웅화수는 2∼5개가 가지 끝에 달리며, 열매는 견과이며 둥글고 털이 없다. ☞ 난티잎개암나무에 비해 잎이 도란형이고 끝이 뾰족해지며 선모가 있다.","한국(전국), 일본",진자(榛子),종인을 과실 성숙기에 채취한다.,"강장보호, 강장제, 개위, 건비위, 견비통, 명목, 보익, 오십견, 조중, 허약체질",(내복): 탕전(湯煎)하거나 가루 내거나 또는 생으로 복용한다.
32,피자식물/쌍자엽식물,밤나무,참나무과(Fagaceae),Castanea crenata Siebold & Zucc.,산기슭에 자라는 낙엽교목으로 높이가 15m에 달하고 나무껍질이 세로로 갈라진다. 잎은 어긋나기하며 곁가지에서 2줄로 갈라지고 점첨두이고 원저 또는 아심장저이다. 꽃은 백색으로 5월 새가지 밑부분의 잎겨드랑이에 미상 화서로 달린다. 열매는 견과이며 9∼10월에 익는다. ☞ 약밤나무보다 잎 뒤에 선점이 있고 열매는 밑이 넓다.,"한국(전국), 중국, 일본",율자(栗子),종인을 과실 성숙기에 채취한다.,"강장, 강장보호, 강신, 건비위, 경혈, 근골동통, 금창, 기관지염, 수감, 아감, 양모, 양모발약, 양위, 오심, 요각쇠약, 이명, 자양강장, 정력증진, 절옹, 종독, 정력증진, 주름살, 지혈, 치출혈, 칠독, 토혈각혈, 표저, 피부 윤택, 하리, 해독, 허약체질, 어지럼 구토, 혈변, 화상, 활혈",(내복): 생식하거나 삶아 먹는다.
8,양치식물,콩짜개덩굴,고란초과(Polypodiaceae),Lemmaphyllum microphyllum C.Pre니,습한 바위 겉이나 늙은 나무에 붙어 자라는 상록 다년초로 근경이 옆으로 벋으며 잎이 드문드문 달린다. 영양엽은 원형 또는 타원형이며 가장자리가 밋밋하다. 홀씨주머니가 달린 포자엽은 주걱형이며 둥글고 밑부분이 좁아진다. ☞ 영양엽이 콩짜개란과 유사하다.,"한국(남부 해안지대와 도서 지역), 중국, 일본, 대만, 인도차이나",지련전(地連錢),전초를 여름부터 가을에 채취하여 햇볕에 말린다.,"개선, 경혈, 악창, 양혈해독, 지혈, 청폐지해, 치통, 코피, 타박상, 폐옹, 풍진, 해수, 혈뇨",(내복): 탕전(湯煎)하여 복용한다.  (외용): 짓찧어 상처 부위에 붙이거나 가루 내어 개어 붙인다.
9,양치식물,세뿔석위,고란초과(Polypodiaceae),Pyrrosia hastata (Thunb. ex Houtt.) Ching,바위 겉에서 자라는 상록 다년초로 높이 15∼20㎝이며 근경은 옆으로 벋고 인편은 흑갈색으로 피침형 또는 난상 피침형이다. 잎은 가장자리가 3∼5개로 갈라진 창처럼 되며 중앙 열편이 가장 길다. 홀씨주머니 군은 주맥 사이에 정연하게 3∼6줄로 배열된다. ☞ 잎몸이 3∼5개로 창살같이 갈라지는 것이 특색이다.,"한국(남부), 중국, 일본",석위(石葦),잎을 봄부터 가을에 채취하여 근경과 잔뿌리를 제거한다.,"만성기관지염, 보익, 신염, 이수통림, 임질, 자궁출혈, 지혈, 창상출혈, 토혈, 혈뇨, 화염지해, 흉격기창",(내복): 탕전(湯煎)하거나 가루약으로 복용한다.
10,양치식물,석위,고란초과(Polypodiaceae),Pyrrosia lingua (Thunb.) Farw.,산속 양지바른 곳의 바위나 늙은 나무 겉에 붙어 자라는 상록 다년초로 근경이 옆으로 길게 벋으며 적색 또는 다갈색 인편이 달린다. 잎은 넓은 피침형 또는 난상 피침형으로 양 끝이 좁고 두껍다. 홀씨주머니 군은 뒷면 전체에 산재한다. ☞ 애기석위보다 잎몸이 보다 길고 홀씨주머니와 측막이 확실하다.,"한국(남부 섬), 중국, 일본, 대만, 태국, 히말라야",석위(石葦),잎을 봄부터 가을에 채취하여 근경과 잔뿌리를 제거한다.,"기관지염, 보익, 신염, 옹저, 요결석, 이수통림, 임질, 자궁출혈, 종독, 지혈, 창상출혈, 토혈, 해수, 혈뇨, 화염지해, 흉격기창",(내복): 탕전(湯煎)하거나 가루약으로 복용한다.
11,나자식물,소철,소철과(Cycadaceae),Cycas revoluta Thunb.,식재하는 상록관목으로 높이 3∼5m이고 가지가 없고 잎자국이 겉을 둘러싼다. 잎은 1회 깃모양겹잎이고 우편은 어긋나기 하며 선형이고 가장자리가 다소 뒤로 말린다. 수꽃은 원줄기 끝에 달리고 실편으로 된 구과형이며 암꽃은 원줄기 끝에 둥글게 모여 달린다. 종자는 편편하며 외종피는 적갈색이다.,"한국(남부), 중국, 일본, 대만",봉미초엽(鳳尾蕉葉),"잎은 수시로 채취하고, 꽃이 필 때 꽃을 채취하여 말린다.","강장보호, 거담, 거풍, 난산, 담다해수, 대하, 목소양증, 보익, 수렴, 월경막힘, 위산과다증, 유정, 이기, 장위카타르, 종기, 진해, 토혈, 통경, 해수, 활혈",(내복): 탕전(湯煎)하여 복용한다.
12,나자식물,은행나무,은행나무과(Ginkgoaceae),Ginkgo biloba L.,식재하는 낙엽교목으로 높이가 60m에 달한다. 잎은 어긋나기 하지만 짧은 가지에는 모여난 것처럼 보이고 부채모양이며 맥이 2개씩 갈라진다. 꽃은 이가화로서 5월에 짧은 가지에 잎과 같이 핀다. 열매는 황색종의에서 악취가 나며 종자는 난상원형으로 능선이 있고 백색이다. ☞ 우리나라에는 유사 이전부터 도입되었다.,"한국(전국), 중국",백과(白果),종자를 가을에 채취하여 종의를 벗긴 후 물로 깨끗이 씻어 햇볕에 말린다.,"감기, 강장보호, 거담, 경련, 고혈압, 관상동맥질환, 당뇨병, 만성피로, 목소양증, 소아야뇨증, 식두부체, 염폐평천, 요도염, 위산과다증, 유즙결핍, 자율신경실조증, 장염, 종기, 주독, 중풍, 지사, 진경, 진해, 축농증, 치매증, 파킨슨병, 폐기천식, 협심증, 호흡곤란, 흉통","(내복): 탕전(湯煎), 환제 또는 그대로 복용한다. ☞ 대량복용은 구토와 호흡곤란 증상이 야기될 수 있다."
